snapshot_date,date,channel,direction,confidence,title,headline,economic_mechanism,expected_effects,id,lead_indicator,signal_type,snapshot_country,source,sources,time_horizon,who_should_care
2026-03-08,2026-03-08,Agriculture,tightening,medium,Climate & Agricultural Shock,Livelihood disruption and psychological distress following the 2024 flash flood in Bangladesh - Nature,"Floods, droughts, or cyclones destroy crops and infrastructure, reducing agricultural output and triggering food price spikes.","[""crop output loss"", ""food price spike"", ""rural income contraction""]",2026-03-08_climate_agricultural_shock_3fa2ebd6,crop_damage_report,supply_shock,root,Nature,"[""https://news.google.com/rss/articles/CBMiX0FVX3lxTE44VklMQ0pBdDNXa3VMU1N3SlJ0VnNLbWEwdjBKQXBVcnBtMjlSTnNKMG02cWtBdTRhZjVKRWg1akU4WWI1dloxR2NGTGM1eTRTV1JreXRpemNzOHdEdUk0?oc=5""]",1–6 months,"[""agricultural sector"", ""food security analysts"", ""insurers""]"
2026-03-08,2026-03-08,Agriculture,tightening,medium,Climate & Agricultural Shock,Best photos of February 12: Madagascar cyclone damage to voters in Bangladesh - thenationalnews.com,"Floods, droughts, or cyclones destroy crops and infrastructure, reducing agricultural output and triggering food price spikes.","[""crop output loss"", ""food price spike"", ""rural income contraction""]",2026-03-08_climate_agricultural_shock_c21cec5e,crop_damage_report,supply_shock,root,thenationalnews.com,"[""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQUVQzWFMtcjcwa0ttd091QndveDdua2N2aWlrbUp5Y3ZjRmVDTEphbWxzSGVsNkN3SEljUVJXNzVWdGRPeXV0MUY1YzRaQkVEM0NSOTdqLWtMUVEzVmdmOXY1Rjhpd0pGSWJnaXMzTWNXMEhVM3czWVJOeEM4cWpwbUFwLVBOOFBqTUlHVktnUVh1NElVTFZkZF9RbXhhT2J4d01IV2FsRkk0WXdZcWh5TngzQTdXY3F1QzBRRWJpZDhDZU0?oc=5""]",1–6 months,"[""agricultural sector"", ""food security analysts"", ""insurers""]"
2026-03-08,2026-03-08,Agriculture,tightening,medium,Climate & Agricultural Shock,ADB initiative promotes water-saving irrigation practice in drought-prone Bangladesh region - CGIAR,"Floods, droughts, or cyclones destroy crops and infrastructure, reducing agricultural output and triggering food price spikes.","[""crop output loss"", ""food price spike"", ""rural income contraction""]",2026-03-08_climate_agricultural_shock_e80875ed,crop_damage_report,supply_shock,root,CGIAR,"[""https://news.google.com/rss/articles/CBMiygFBVV95cUxPVEJUMDhNSDBLTGltS3UwQXBwejJrc0dWaTdySlNya1BVdkF5WVVySGxyZVo1OHFMNHFmTUluZlk4aXdfV2hWNnlpQjlhSzIwaGgwTVNEdVBuRWs3cXdNME9hRnRLWFZfR1Z0YkRhMDd3N1JZbE5sVTZzVkJDUEhOd21QYThmRXdBNXhoWWJHZFlyT2Q1MndtWFowSWY3WWhKalpEMkFlTkNqcVBHOWpyeXVyeGF4VzJFXzZzeHhscGRJNUxHTGJSVlBB?oc=5""]",1–6 months,"[""agricultural sector"", ""food security analysts"", ""insurers""]"
2026-03-08,2026-03-08,Agriculture,tightening,medium,Climate & Agricultural Shock,Bangladesh’s first drought-resistant soybean brings hope to char areas - The Financial Express | First Financial Daily of Bangladesh,"Floods, droughts, or cyclones destroy crops and infrastructure, reducing agricultural output and triggering food price spikes.","[""crop output loss"", ""food price spike"", ""rural income contraction""]",2026-03-08_climate_agricultural_shock_9d76615e,crop_damage_report,supply_shock,root,The Financial Express | First Financial Daily of Bangladesh,"[""https://news.google.com/rss/articles/CBMivgFBVV95cUxPb0FRSkRLSVNoWmN3MC1hWVJ6Y2ltZU5Db1NPbW9NQ195aXEzSHQtOHlIejlZS1VZWldMdGdQcUV4eVFCZFJFb1NQNmhpNlczWnczVDZrZHFSeWZxS1hRWnRYZHFpa0hDUkNpQUZ4RG5FR3F5OWFicTlHUG9RZDUtSXBpNUV5dDROWDhmRUxUbTk1SVg4TDluWkNyNTluLTFQeFRJbGFSdXg0M0x1aGdSWm16UDVNYXJWTE5uRzR3?oc=5""]",1–6 months,"[""agricultural sector"", ""food security analysts"", ""insurers""]"
2026-03-08,2026-03-08,Agriculture,tightening,medium,Climate & Agricultural Shock,Identification of influential weather parameters and seasonal drought prediction in Bangladesh using machine learning algorithm - Nature,"Floods, droughts, or cyclones destroy crops and infrastructure, reducing agricultural output and triggering food price spikes.","[""crop output loss"", ""food price spike"", ""rural income contraction""]",2026-03-08_climate_agricultural_shock_20a96603,crop_damage_report,supply_shock,root,Nature,"[""https://news.google.com/rss/articles/CBMiX0FVX3lxTFB6TTVDQklPZkZKTElaQVB3TG9xQ24wVlRMVWlQTzBvMnJBeXRqNndhcTRFOFVLVzl3X1dDNEFyeVdvOWdCSDd6cEhHX2E5OWZjd0VYbmJ0OW1uUDU3QVc4?oc=5""]",1–6 months,"[""agricultural sector"", ""food security analysts"", ""insurers""]"
2026-03-08,2026-03-08,Agriculture,tightening,medium,Climate & Agricultural Shock,Delineating the drought vulnerability zones in Bangladesh - Nature,"Floods, droughts, or cyclones destroy crops and infrastructure, reducing agricultural output and triggering food price spikes.","[""crop output loss"", ""food price spike"", ""rural income contraction""]",2026-03-08_climate_agricultural_shock_32bb76ae,crop_damage_report,supply_shock,root,Nature,"[""https://news.google.com/rss/articles/CBMiX0FVX3lxTE1MeVVMOG5yMkVfVFlPdVJyU2ZtWjJsZ0tSMjUtdGQ2cDF1T1Z5ZzhMdkdBcFZNa1Z0NkM4dmNhUFU2LXpyM1NwMTJzWmxwaXlpdkNhcmZSYy1zMmFpbjNn?oc=5""]",1–6 months,"[""agricultural sector"", ""food security analysts"", ""insurers""]"
2026-03-08,2026-03-08,Agriculture,tightening,medium,Climate & Agricultural Shock,Spatiotemporal drought analysis in Bangladesh using the standardized precipitation index (SPI) and standardized precipitation evapotranspiration index (SPEI) - Nature,"Floods, droughts, or cyclones destroy crops and infrastructure, reducing agricultural output and triggering food price spikes.","[""crop output loss"", ""food price spike"", ""rural income contraction""]",2026-03-08_climate_agricultural_shock_8a64d072,crop_damage_report,supply_shock,root,Nature,"[""https://news.google.com/rss/articles/CBMiX0FVX3lxTE40VnBkVFNpQ3R2LWVNclRya0h2S1FRN3hOSjlSUmtPT1BnM1p2MHp3NmlUNFdLUmxkdk5pWHpURDhiMUYtS1RCZkc4endmWlg2b0tqRF81Si1IS2YxRElz?oc=5""]",1–6 months,"[""agricultural sector"", ""food security analysts"", ""insurers""]"
2026-03-08,2026-03-08,Banking,tightening,medium,Banking Sector Fragility,Bangladesh banking sector’s default loan rate falls to 31% after major rescheduling - bdnews24.com,"Rising non-performing loans, governance failures, or liquidity stress in banks constrain credit intermediation and erode depositor confidence.","[""credit rationing"", ""deposit flight risk"", ""fiscal contingent liability""]",2026-03-08_banking_sector_fragility_5eea8560,npl_ratio_change,financial_conditions,root,bdnews24.com,"[""https://news.google.com/rss/articles/CBMiU0FVX3lxTE1JRmdKbFJFb1o4SXNDenM3c3FqVlRkRlVROE04RnZsUndKOWgtZnd3QUJxNjBlVEd6M3FuRS1fTGd1NFA3TkVJZF9BQkFZOTVLWnNZ?oc=5""]",3–12 months,"[""depositors"", ""bank regulators"", ""financial analysts""]"
2026-03-08,2026-03-08,Banking,tightening,medium,Banking Sector Fragility,New Bangladesh Bank governor had Tk 89cr loans rescheduled before appointment - The Daily Star,"Rising non-performing loans, governance failures, or liquidity stress in banks constrain credit intermediation and erode depositor confidence.","[""credit rationing"", ""deposit flight risk"", ""fiscal contingent liability""]",2026-03-08_banking_sector_fragility_2746cd33,npl_ratio_change,financial_conditions,root,The Daily Star,"[""https://news.google.com/rss/articles/CBMivgFBVV95cUxOY2VKbnFfNEgzOWVmNC1zMEpRb2xjckFBSHF1TVFLZ1dmMEpnSDdnNVVoZzJpWmlFSG5oLW9qTUFiSTNJVnl4VVZ3bmtpSHNydzBreml5MUNoMkFnenBiVXE0M3RwelBfNWROdnNQRHM0LUJyM2dkNkdBbEZJVS1HUXFHQjhNQVM4emotZzhRZEptSWxNdV80VjJMaUxlSm1EYVBBRTZ4amFYTUxlV05MR3E2YzlVOTFqcFU1WUtn?oc=5""]",3–12 months,"[""depositors"", ""bank regulators"", ""financial analysts""]"
2026-03-08,2026-03-08,Banking,tightening,medium,Banking Sector Fragility,"Classified loans in Bangladesh drop by Tk 87,298 crore in Q4 2025 - Amader Barta","Rising non-performing loans, governance failures, or liquidity stress in banks constrain credit intermediation and erode depositor confidence.","[""credit rationing"", ""deposit flight risk"", ""fiscal contingent liability""]",2026-03-08_banking_sector_fragility_7cf92bca,npl_ratio_change,financial_conditions,root,Amader Barta,"[""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQNFRWdGF6dnJoTmlITmlLRkxzenhhUUNzWlNnYWY3OWFURkNseF9zUGFIdnRic1ZXbWhPbkxvSkF5SThzTEtrRUJzaEFBM2NxV0wzWWpfMldoY2txUWxhS05ReW9Jd0pfbnNHM1NoblNqTWhLYUJXX2dkYkw1ay1rNDBFYnEtSGZESnZybXJQd2cxSUN0M090OUdBQ1hnRjFScEVJQ055SGVYaWs?oc=5""]",3–12 months,"[""depositors"", ""bank regulators"", ""financial analysts""]"
